6102144|||||Deborah Remington|||||(American, 1935)|||||Troy|||||Lot 285 - Weschler's, Washington (December 04, 2015)|||||Capital Collections Estate Auction (Sale 1423)||||||||||Estimate: $ 2,000 - 4,000 USD|||||Materials: Oil on canvas Measurements: 17.99 in. (45.70 cm.) (height) by 20.00 in. (50.80 cm.) (width) Markings: Signed Remington and dated 1972 on verso Condition: Examined under UV light: No condition issues to report
6102145|||||Giuseppe Bernardino Bison|||||(Italian, 1762 - 1844)|||||Scena di imbarco con sette personaggi|||||Lot 62 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  1,300 - 1,800 EUR|||||Materials: black pencil on laid paper Measurements: 9.72 in. (24.70 cm.) (height) by 8.70 in. (22.10 cm.) (width) Markings: marked 'C&I HONIG'
6102146|||||Giuseppe Bernardino Bison|||||(Italian, 1762 - 1844)|||||Sacra Famiglia. Figura femminile|||||Lot 63 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  700 - 900 EUR|||||Materials: black chalk and white pencil (1) and graphite pencil (2) on light brown paper Measurements: 10.98 in. (27.90 cm.) (height) by 8.46 in. (21.50 cm.) (width) Description: double-sided Markings: signed with pencil, l.r. (1)
6102147|||||Giuseppe Bernardino Bison|||||(Italian, 1762 - 1844)|||||Baccanti intorno ad un'erma. Putti intorno ad un albero|||||Lot 64 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  1,000 - 1,500 EUR|||||Materials: red pencil heightened with white lead on light brown paper laid to album page (1); pencil on album page (2) Measurements: 10.63 in. (27.00 cm.) (height) by 12.99 in. (33.00 cm.) (width) Size Notes: 1 Description: 2 works; Neoclassical School drawing, verso of album page (2) Markings: inscribed with pen 'Bison giuseppe 1843', l.r. (1); collection stamp 'Vallardi' and collection dry stamp (2)
6102148|||||Giuseppe Bernardino Bison|||||(Italian, 1762 - 1844)|||||San Gerolamo penitente|||||Lot 65 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  1,200 - 1,800 EUR|||||Materials: pen and brown ink on laid grey-green paper Measurements: 14.65 in. (37.20 cm.) (height) by 11.46 in. (29.10 cm.) (width)
6102149|||||Luigi Ademollo|||||(Italian, 1764 - 1849)|||||Scena di vita dell'antica Roma|||||Lot 66 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  1,200 - 1,500 EUR|||||Materials: graphite pencil on laid paper Measurements: 15.94 in. (40.50 cm.) (height) by 17.91 in. (45.50 cm.) (width) Description: double-sided
6102150|||||Giovanni Mauro della Rovere|||||(Italian, 1575 - 1640)|||||Nascita della Vergine|||||Lot 67 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  2,000 - 2,500 EUR|||||Materials: pen and brown ink heightened with white tempera on grey-green laid paper Measurements: 9.92 in. (25.20 cm.) (height) by 7.17 in. (18.20 cm.) (width) Description: squared for transfer with black pen Markings: Paris stamp 'Alliance des Arts', verso Condition: framed
6102151|||||Bernardo Buontalenti|||||(Italian, 1536 - 1608)|||||Progetto di un portale|||||Lot 68 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  5,000 - 6,000 EUR|||||Materials: pen and brown ink on laid paper Measurements: 11.02 in. (28.00 cm.) (height) by 8.03 in. (20.40 cm.) (width)
6102152|||||Bernardo Buontalenti|||||(Italian, 1536 - 1608)|||||Progetto di un portale|||||Lot 69 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  5,000 - 6,000 EUR|||||Materials: pen and brown ink on laid paper Measurements: 11.02 in. (28.00 cm.) (height) by 8.03 in. (20.40 cm.) (width) Markings: watermarked 'Ancora entro un cerchio singolo sormontato da trifoglio'
6102153|||||Giovan Battista Draghi|||||(Italian, 1657 - 1712)|||||Discordi tra guerrieri|||||Lot 71 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  1,000 - 1,200 EUR|||||Materials: pen and brown ink, and grey watercolor on laid paper Measurements: 7.28 in. (18.50 cm.) (height) by 9.65 in. (24.50 cm.) (width) Markings: signed with pen 'dra[...] in.', l.l.
6102154|||||Auguste Debard|||||(19th C)|||||Ritratto di medico|||||Lot 72 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  2,000 - 3,000 EUR|||||Materials: black pencil heightened with white pencil Measurements: 28.94 in. (73.50 cm.) (height) by 21.65 in. (55.00 cm.) (width) Markings: inscribed 'A:gste Debard fecit. 1819', l.l. Condition: framed
6102155|||||Giambattista Piazzetta|||||(Italian, 1682 - 1754)|||||Testa di giovane donna|||||Lot 72 a - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  20,000 - 30,000 EUR|||||Materials: black chalk heightened with white chalk on laid paper Measurements: 15.63 in. (39.70 cm.) (height) by 12.01 in. (30.50 cm.) (width) Markings: watermarked 'Ancora entro cerchio singolo sormontato da stella a sei punte'
6102156|||||After  Ciro Ferri|||||(Italian, 1634 - 1689)|||||Il mistero dell'Eucarestia|||||Lot 73 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  700 - 1,000 EUR|||||Materials: red pencil on laid paper Measurements: 19.88 in. (50.50 cm.) (height) by 17.20 in. (43.70 cm.) (width)
6102157|||||Alessandro Gherardini|||||(Italian, 1655 - 1723)|||||Sacra Famiglia|||||Lot 74 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  800 - 1,000 EUR|||||Materials: black pencil on laid paper Measurements: 11.81 in. (30.00 cm.) (height) by 7.87 in. (20.00 cm.) (width)
6102158|||||Attributed to  Bartolomeo Neroni|||||(Italian, 1500 - 1573)|||||Nudo virile di schiena|||||Lot 75 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  800 - 1,000 EUR|||||Materials: graphite pencil touched-up with red pencil on laid paper Measurements: 4.41 in. (11.20 cm.) (height) by 4.41 in. (11.20 cm.) (width)
6102159|||||Pietro Antonio Novelli|||||(Italian, 1729 - 1804)|||||Prometeo|||||Lot 76 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  900 - 1,200 EUR|||||Materials: pen and brown ink on laid paper Measurements: 6.50 in. (16.50 cm.) (height) by 8.43 in. (21.40 cm.) (width) Description: squared for transfer with pencil Markings: watermarked 'CZF'; inscribed in artist's hand with black pen 'Pietro Antonio Novelli veneto inv. e dis.', l.c.
6102160|||||Master of the Egmont Albums|||||(Dutch, act. 1570-1600)|||||Sacra Famiglia con San Giovannino e l'angelo|||||Lot 77 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  9,000 - 10,000 EUR|||||Materials: pen and brown ink on laid paper Measurements: 12.01 in. (30.50 cm.) (height) by 8.43 in. (21.40 cm.) (width) Markings: watermarked 'Pellegrino con bastone entro un cerchio singolo'; illegible attribution, l.l.; collection stamps 'G. Vallardi, Milano' and 'G. Pacini, Firenze', recto; collection stamp G. Locarno, Milano', verso
6102161|||||Luigi Sabatelli|||||(Italian, 1772 - 1850)|||||La Giustizia e l'Arno|||||Lot 78 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  800 - 1,200 EUR|||||Materials: pen and black ink, and grey watercolor on laid paper Measurements: 2.87 in. (7.30 cm.) (height) by 4.25 in. (10.80 cm.) (width) Size Notes: sheet: 116 x 150 mm Markings: with note inscribed 'Prof: Luigi Sabatelli. La Giustizia e laArno soggetto Inciso per frontespizio allaOpera del Cav:  Rossi Architetto' Literature:                                                                                                                                                           Stima a 800 / 1.200
6102162|||||Paul van Somer II|||||(Flemish, 1649 - 1694)|||||Corteo di Bacco davanti ad un'erma di Pan|||||Lot 80 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  800 - 1,000 EUR|||||Materials: red pencil touched-up with pen and brown ink on laid paper Measurements: 5.87 in. (14.90 cm.) (height) by 10.55 in. (26.80 cm.) (width) Markings: inscribed 'P. van Somer in et fecit', l.r.
6102163|||||Giovanni Domenico Tiepolo|||||(Italian, 1727 - 1804)|||||Santa Caterina da Siena|||||Lot 81 a - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  35,000 - 40,000 EUR|||||Materials: polychrome pastel on grey-green canvas paper Measurements: 27.36 in. (69.50 cm.) (height) by 20.35 in. (51.70 cm.) (width) Condition: period frame
6102164|||||Giacomo Zampa|||||(Italian, 1731 - 1808)|||||Giove, Ercole e Diana|||||Lot 87 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  700 - 800 EUR|||||Materials: pen and brown ink, and grey watercolor on laid paper Measurements: 5.31 in. (13.50 cm.) (height) by 5.31 in. (13.50 cm.) (width)
6102165|||||Luigi Conconi|||||(Italian, 1852 - 1917)|||||Ada|||||Lot 88 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  300 - 500 EUR|||||Materials: etching on imperial Japon paper Measurements: 3.94 in. (10.00 cm.) (height) by 2.40 in. (6.10 cm.) (width) Size Notes: sheet: 480 x 337 mm Description: unique state Markings: signed and dated, l.r., plate Condition: fine with wide margins
