6093986|||||Giovanni Barbisan|||||(Italian, 1914 - 1988)|||||Cardi selvatici|||||Lot 12 - FidesArte, Venice (December 10, 2015)|||||Arte Moderna e Contemporanea (Sale 67)||||||||||Estimate:  1,000 - 1,500 EUR|||||Materials: etching Measurements: 14.37 in. (36.50 cm.) (height) by 12.20 in. (31.00 cm.) (width) Size Notes: slab Edition: 1 of 20 Markings: signed, dated and editioned below Literature: "Giovanni Barbisan" a cura di Marco Goldin ed. Electa pag. 312 tav. I155
6093987|||||Kazuhide Takahama|||||(Japanese, 1930)|||||Meuble De Rangement|||||Lot 199 - Cornette de Saint Cyr, Paris (November 04, 2015)|||||Arts Decoratifs du XXe Siecle - Design (Sale )||||||||||Estimate:  500 - 800 EUR|||||Materials: multilayer structure formed of coral red lacquered wooden panels Measurements: 51.18 in. (130.00 cm.) (height) by 39.37 in. (100.00 cm.) (width) by 17.72 in. (45.00 cm.) (depth) Size Notes: length Description: produced by Simon International for Gavina; no screws and no keys included Condition: laquer chipping
6093988|||||Giovanni Barbisan|||||(Italian, 1914 - 1988)|||||Alberi|||||Lot 13 - FidesArte, Venice (December 10, 2015)|||||Arte Moderna e Contemporanea (Sale 67)||||||||||Estimate:  800 - 1,200 EUR|||||Materials: etching Measurements: 18.90 in. (48.00 cm.) (height) by 14.96 in. (38.00 cm.) (width) Size Notes: slab Edition: AP Markings: signed l.l.; editioned l.r.
6093989|||||Franz Fedier|||||(Swiss, 1922 - 2005)|||||Ohne Titel|||||Lot 3508 - Schuler Auktionen, Zurich (December 07, 2015)|||||Auktion 139 (Sale 139)||||||||||Estimate: 400 - 600 CHF|||||Materials: gouache on paper Measurements: 12.01 in. (30.50 cm.) (height) by 8.46 in. (21.50 cm.) (width) Size Notes: sheet size Markings: signed and dated l.l. Condition: framed; slightly damaged margins and edges; mounted on mat on upper margin verso
6093990|||||Alfons Klement|||||(Dutch, 1930 - 2000)|||||La Table|||||Lot 149 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  1,000 - 2,000 EUR|||||Materials: Oil on canvas Measurements: 47.24 in. (120.00 cm.) (height) by 47.24 in. (120.00 cm.) (width) Markings: Signed and dated '85 l.l. Titled and dated 1985 on stretcher Provenance: Private collection, The Netherlands. Private collection, The Netherlands
6093991|||||Augusto Giacometti|||||(Swiss, 1877 - 1947)|||||BlumenplA14ckerin|||||Lot 3509 - Schuler Auktionen, Zurich (December 07, 2015)|||||Auktion 139 (Sale 139)||||||||||Estimate: 3,000 - 4,000 CHF|||||Materials: oil on paper Measurements: 7.36 in. (18.70 cm.) (height) by 7.36 in. (18.70 cm.) (width) Condition: framed; unframed
6093992|||||Karl Korab|||||(Austrian, 1937)|||||Landschaft|||||Lot 150 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  1,000 - 2,000 EUR|||||Materials: Mixed media and collage on paper Measurements: 10.47 in. (26.60 cm.) (height) by 11.97 in. (30.40 cm.) (width) Markings: Signed and dated 91 l.r. Provenance: Galerie Lang Wien, Wenen (1994) (incl. copy of invoice). Corporate collection, The Netherlands
6093993|||||Kazuhide Takahama|||||(Japanese, 1930)|||||Suite De Six Chaises|||||Lot 200 - Cornette de Saint Cyr, Paris (November 04, 2015)|||||Arts Decoratifs du XXe Siecle - Design (Sale )||||||||||Estimate:  600 - 800 EUR|||||Materials: multilayer coral red wood lacquer Measurements: 42.52 in. (108.00 cm.) (height) by 18.11 in. (46.00 cm.) (width) by 18.50 in. (47.00 cm.) (depth) Description: produced by Simon International; Model 'Kazuki' Markings: producer's label (verso of seat) Condition: laquer chipping
6093994|||||Augusto Giacometti|||||(Swiss, 1877 - 1947)|||||Handorgelspieler|||||Lot 3510 - Schuler Auktionen, Zurich (December 07, 2015)|||||Auktion 139 (Sale 139)||||||||||Estimate: 3,000 - 4,000 CHF|||||Materials: oil on paper Measurements: 7.36 in. (18.70 cm.) (height) by 7.48 in. (19.00 cm.) (width) Description: design for a glass panel Condition: framed; unframed
6093995|||||Lydia Dona|||||(American, 1955)|||||Memories of a Molecule|||||Lot 151 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  1,000 - 2,000 EUR|||||Materials: Oil, acrylic and sign paint on canvas Measurements: 68.03 in. (172.80 cm.) (height) by 71.81 in. (182.40 cm.) (width) Markings: Signed, titled and dated 1989 on the reverse Provenance: Galerie Barbara Farber, Amsterdam (1989) (incl. copy of invoice). Corporate collection, The Netherlands
6093996|||||Joseph Cals|||||(Dutch, 1949)|||||Untitled|||||Lot 152 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  1,500 - 2,500 EUR|||||Materials: Oil and beeswax on canvas Measurements: 74.84 in. (190.10 cm.) (height) by 67.01 in. (170.20 cm.) (width) Markings: Signed and dated 1983 l.m. Provenance: Germans van Eck Gallery, New York City (inv.no. GVEJC105). Private collection, The Netherlands
