6102186|||||Odilon Redon|||||(French, 1840 - 1916)|||||Yeux clos|||||Lot 102 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  4,000 - 5,000 EUR|||||Materials: lithograph on Chine paper laid down Measurements: 12.36 in. (31.40 cm.) (height) by 9.49 in. (24.10 cm.) (width) Size Notes: sheet: 475 x 345 mm Edition: 2nd edition (50 Ps in 2 editions) Description: printed by Becquet; 2/4 states Markings: dedicated by artist with pencil 'A  Brethon Lafargue. O.R.'; signed, l.l., stone Condition: fine with wide margins; restored tear Literature:        Stima a 4.000 / 5.000
6102187|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||Vieille Marchand de Carpes|||||Lot 120 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 800 - 1,200 USD|||||Materials: woodblock print Measurements: Markings: signed l.r. in pencil above fan seal; with carver seal and printer seals l.r. Condition: framed behind mat; not inspected out of frame
6102188|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||La Geisha Kiyoka|||||Lot 121 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 2,000 - 2,500 USD|||||Materials: woodblock print Measurements: Edition: 219/350 Markings: signed l.l. in pencil above Mandarin duck seal; with seal of printer Tetsunoksuke Honda l.r.; numbered '219/350' verso
6102189|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||Le Mandarin aux Lunettes|||||Lot 122 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 800 - 1,200 USD|||||Materials: woodblock print Measurements: Markings: signed l.r. above Mandarin Duck seal; with seals of carver and printer l.r. margin Condition: framed behind mat; not inspected out of frame
6102190|||||Nicolo Cannicci|||||(Italian, 1846 - 1906)|||||Batone racconta. Bambina sul letto di morte. Pescatore di bilancia. Batone con il lume|||||Lot 103 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  1,200 - 1,500 EUR|||||Materials: tempera on paper Measurements: 12.60 in. (32.00 cm.) (height) by 16.93 in. (43.00 cm.) (width) Size Notes: 1; 2: 340 x 470 mm; 3: 340 x 460 mm; 4: 355 x 315 mm Description: 4 illustrations for Le veglie di Neri, published 1890
6102191|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||Le Tresor|||||Lot 124 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 1,500 - 1,800 USD|||||Materials: woodblock print Measurements: Edition: 57/350 Markings: signed l.r. in pencil above butterfly seal; with seals of carver and printer l.r.; numbered '57/350' verso
6102192|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||Vieillad au Chapelet 'Kawadzu'|||||Lot 125 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 800 - 1,200 USD|||||Materials: woodblock print Measurements: 18.50 in. (46.99 cm.) (height) by 14.20 in. (36.07 cm.) (width) Edition: 110/350 Markings: signed l.r. in pencil above butterfly seal; with seal of carver and printer l.r., numbered '110/350' verso Condition: minor loss verso from removed tape
6102193|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||Le Repas des Mendiants, Coree|||||Lot 126 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 600 - 800 USD|||||Materials: woodblock print Measurements: Edition: 239/350 Markings: signed l.l. in pencil above tea jar seal; with carver and printer seals l.l.; numbered '239/350'
6102194|||||Telemaco Signorini|||||(Italian, 1835 - 1901)|||||Tommasina du Nin. Paese|||||Lot 104 - Casa d'Aste Pandolfini, Florence (November 18, 2015)|||||Stampe e Disegni (Sale )||||||||||Estimate:  800 - 1,000 EUR|||||Materials: black pencil on heavy light brown paper Measurements: 8.27 in. (21.00 cm.) (height) by 5.28 in. (13.40 cm.) (width) Description: double-sided Markings: monogrammed with pencil, u.r.; titled, l.r. (1) Condition: trimmed; framed
6102195|||||Paul Jacoulet|||||(French, 1896 - 1960)|||||Fleurs des Iles Lointaines|||||Lot 127 - Eldred's Auctioneers, East Dennis (December 03, 2015)|||||Asian Arts Auction (Sale )||||||||||Estimate: $ 1,500 - 2,000 USD|||||Materials: woodblock print Measurements: Edition: 215/350 Markings: signed l.r. in pencil above butterfly seal; with seals of carver and printer l.l.; numbered '215/350' verso
