Robert Indiana|||||(American, 1928)|||||Tilt from The American Dream Portfolio|||||Lot 238 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||$ 1,500 USD 1,341 EUR 985 GBP|||||Original Currency of Sale: $ 1,500 USD Hammer Estimate: $ 2,000 - 2,500 USD|||||Materials: silkscreen Measurements: 16.50 in. (41.91 cm.) (height) by 14.00 in. (35.56 cm.) (width) Size Notes: image; Frame Size: 25 x 22 inches Edition: ed. of 395 Markings: signed and numbered in pencil Condition: framed
Robert Indiana|||||(American, 1928)|||||Brooklyn Bridge|||||Lot 239 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||$ 350 USD 313 EUR 229 GBP|||||Original Currency of Sale: $ 350 USD Hammer Estimate: $ 700 - 900 USD|||||Materials: poster Measurements: 34.00 in. (86.36 cm.) (height) by 22.00 in. (55.88 cm.) (width) Size Notes: image; Size: 36 x 24 in.
Robert Indiana|||||(American, 1928)|||||The Tel Aviv Peace|||||Lot 240 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 4,000 - 5,000 USD|||||Materials: screenprint Measurements: 26.00 in. (66.04 cm.) (height) by 26.00 in. (66.04 cm.) (width) Size Notes: image; Size: 33 x 32 in. Edition: 47/50 Markings: signed and numbered in pencil
Peter Klasen|||||(German, 1935)|||||Nu Manette M1|||||Lot 241 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 400 - 500 USD|||||Materials: lithograph Measurements: 22.50 in. (57.15 cm.) (height) by 19.00 in. (48.26 cm.) (width) Size Notes: image; Size: 30 x 23 in Edition: ed. of 150 Markings: signed and numbered in pencil
Robert Motherwell|||||(American, 1915 - 1991)|||||On the wing|||||Lot 223 - Wright, Chicago (September 24, 2015)|||||Art + Design (Sale )|||||Bought In|||||Estimate: $ 4,000 - 6,000 USD|||||Materials: lithograph, embossing and collage on Arches paper Measurements: 46.50 in. (118.11 cm.) (height) by 30.50 in. (77.47 cm.) (width) Edition: 63/70 Description: published by Tyler Graphics Ltd., Bedford Village, New York Markings: signed and numbered 'Motherwell 63/70', lower edge
Peter Klasen|||||(German, 1935)|||||Bouche Chaine|||||Lot 242 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 400 - 500 USD|||||Materials: lithograph Measurements: 24.75 in. (62.86 cm.) (height) by 19.00 in. (48.26 cm.) (width) Size Notes: image; Size: 32.25 x 23.25 in Edition: ed. of 150 Markings: signed and numbered in pencil
Kiki Kogelnik|||||(Austrian, 1935 - 1997)|||||Bathing in Green|||||Lot 243 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||$ 1,400 USD 1,252 EUR 919 GBP|||||Original Currency of Sale: $ 1,400 USD Hammer Estimate: $ 2,500 - 3,500 USD|||||Materials: silkscreen Measurements: 37.00 in. (93.98 cm.) (height) by 26.00 in. (66.04 cm.) (width) Edition: ed. of 200, plus 35 AP Markings: signed and numbered in pencil
Valerie Jaudon|||||(American, 1945)|||||State|||||Lot 224 - Wright, Chicago (September 24, 2015)|||||Art + Design (Sale )|||||$ 12,500 USD 11,181 EUR 8,211 GBP|||||Original Currency of Sale: $ 12,500 USD Premium Estimate: $ 8,000 - 10,000 USD|||||Materials: oil on canvas Measurements: 72.25 in. (183.52 cm.) (height) by 72.25 in. (183.52 cm.) (width) Markings: signed, titled and dated 'State Valerie Jaudon 1986', verso
Kiki Kogelnik|||||(Austrian, 1935 - 1997)|||||Jack Gallery|||||Lot 244 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||$ 200 USD 178 EUR 131 GBP|||||Original Currency of Sale: $ 200 USD Hammer Estimate: $ 400 - 600 USD|||||Materials: poster Measurements: 28.50 in. (72.39 cm.) (height) by 18.00 in. (45.72 cm.) (width) Size Notes: Frame Size: 30 x 19.25 inches Condition: framed
Peter Max|||||(American, German, 1937)|||||Lady in Green|||||Lot 245 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 1,500 - 2,500 USD|||||Materials: lithograph Measurements: 22.00 in. (55.88 cm.) (height) by 17.00 in. (43.18 cm.) (width) Size Notes: image; Size: 28 in. x 21 in Edition: ed. of 165 plus HC Markings: signed and numbered in pencil
