5500000|||||Frederick Challener|||||(Canadian, 1869 - 1959)|||||Untitled - Motherhood|||||Lot 415  - Levis Fine Art Auctions, Calgary (November 23, 2014)|||||Fine Art Auction (Sale )|||||Bought In|||||Estimate: 900 - 1,200 CAD|||||Materials: pastel on paper Measurements: 10.50 in. (26.67 cm.) (height) by 4.25 in. (10.80 cm.) (width) by 1.00 in. (2.54 cm.) (depth) Markings: signed along bottom; bears title and date on label verso Condition: archival mat; framed
5500001|||||Sherril Chase|||||(Canadian, 1942)|||||Lazy Afternoon|||||Lot 416  - Levis Fine Art Auctions, Calgary (November 23, 2014)|||||Fine Art Auction (Sale )|||||$ 234 USD 188 EUR 149 GBP|||||Original Currency of Sale: 263 CAD Premium Estimate: 500 - 600 CAD|||||Materials: oil on wood board Measurements: 16.00 in. (40.64 cm.) (height) by 20.00 in. (50.80 cm.) (width) by 1.00 in. (2.54 cm.) (depth) Markings: signed lower right; bears title on gallery label verso Condition: framed Provenance: Harrison Galleries, Vancouver, label verso; private collection, Calgary
5500002|||||Ken Christopher|||||(Canadian, 1942)|||||Arizona Reds|||||Lot 417  - Levis Fine Art Auctions, Calgary (November 23, 2014)|||||Fine Art Auction (Sale )|||||$ 365 USD 294 EUR 233 GBP|||||Original Currency of Sale: 410 CAD Premium Estimate: 500 - 600 CAD|||||Materials: acrylic on paper Measurements: 23.50 in. (59.69 cm.) (height) by 32.50 in. (82.55 cm.) (width) by 1.00 in. (2.54 cm.) (depth) Markings: signed and dated lower right; signed, titled and dated on backing Condition: archival mat; framed Provenance: Virginia Christopher Gallery, Calgary, label verso; private collection, Calgary
5500003|||||Norm Comp|||||(Canadian, 20th C)|||||Summer Range|||||Lot 418  - Levis Fine Art Auctions, Calgary (November 23, 2014)|||||Fine Art Auction (Sale )|||||Bought In|||||Estimate: 450 - 550 CAD|||||Materials: oil on canvas Measurements: 19.25 in. (48.89 cm.) (height) by 29.25 in. (74.30 cm.) (width) by 1.00 in. (2.54 cm.) (depth) Markings: signed and dated lower right; signed, titled and dated verso Condition: framed Provenance: private collection, Calgary
5500004|||||Laurel J V Cormack|||||(Canadian, 1935)|||||The Model in the Studio [Allie]|||||Lot 419  - Levis Fine Art Auctions, Calgary (November 23, 2014)|||||Fine Art Auction (Sale )|||||Bought In|||||Estimate: 400 - 600 CAD|||||Materials: oil on canvas Measurements: 24.00 in. (60.96 cm.) (height) by 17.75 in. (45.08 cm.) (width) by 1.00 in. (2.54 cm.) (depth) Markings: signed lower right; signed, titled and dated verso Condition: framed Provenance: private collection, Calgary
5500005|||||Philip Craig|||||(Canadian, 1951)|||||Barking Dog, Brudon|||||Lot 420  - Levis Fine Art Auctions, Calgary (November 23, 2014)|||||Fine Art Auction (Sale )|||||$ 365 USD 294 EUR 233 GBP|||||Original Currency of Sale: 410 CAD Premium Estimate: 700 - 900 CAD|||||Materials: oil on canvas Measurements: 12.00 in. (30.48 cm.) (height) by 14.00 in. (35.56 cm.) (width) by 1.00 in. (2.54 cm.) (depth) Markings: signed and dated lower right; titled on gallery label verso Condition: framed; white paint on bottom edge of frame noted Provenance: Nancy Poole's Studio, Toronto, label verso
5500006|||||Duncan Crockford|||||(Canadian, 1920 - 1991)|||||Untitled - On the Sea|||||Lot 421  - Levis Fine Art Auctions, Calgary (November 23, 2014)|||||Fine Art Auction (Sale )|||||$ 729 USD 588 EUR 465 GBP|||||Original Currency of Sale: 819 CAD Premium Estimate: 1,200 - 1,500 CAD|||||Materials: oil on wood board Measurements: 24.00 in. (60.96 cm.) (height) by 36.00 in. (91.44 cm.) (width) by 1.00 in. (2.54 cm.) (depth) Markings: signed lower left Condition: framed Provenance: private collection, Calgary
5500007|||||William Duma|||||(Canadian, 1936)|||||Dusk|||||Lot 422  - Levis Fine Art Auctions, Calgary (November 23, 2014)|||||Fine Art Auction (Sale )|||||$ 416 USD 335 EUR 265 GBP|||||Original Currency of Sale: 468 CAD Premium Estimate: 500 - 600 CAD|||||Materials: oil on canvas board Measurements: 12.00 in. (30.48 cm.) (height) by 16.00 in. (40.64 cm.) (width) by 1.00 in. (2.54 cm.) (depth) Markings: signed lower right; signed, titled and inscribed '29.86' verso Condition: framed; yellowing and surface dirt noted Provenance: private collection, Ontario
5500008|||||Ruth Eliot|||||(Canadian, 1913 - 2001)|||||Haystacks and Trees|||||Lot 423  - Levis Fine Art Auctions, Calgary (November 23, 2014)|||||Fine Art Auction (Sale )|||||$ 416 USD 335 EUR 265 GBP|||||Original Currency of Sale: 468 CAD Premium Estimate: 900 - 1,200 CAD|||||Materials: oil on wood board Measurements: 12.00 in. (30.48 cm.) (height) by 16.00 in. (40.64 cm.) (width) by 1.00 in. (2.54 cm.) (depth) Description: painting of Amaryllis Flowers verso Markings: titled on artist's estate label verso done by the Collector's Gallery, Calgary Condition: framed Provenance: Collectors' Gallery, Calgary, label verso; private collection, Calgary
5500009|||||Jane Everett|||||(Canadian, 20th/21st C)|||||Far Turn IX|||||Lot 424  - Levis Fine Art Auctions, Calgary (November 23, 2014)|||||Fine Art Auction (Sale )|||||$ 442 USD 356 EUR 282 GBP|||||Original Currency of Sale: 497 CAD Premium Estimate: 400 - 500 CAD|||||Materials: graphite on paper Measurements: 13.25 in. (33.66 cm.) (height) by 10.25 in. (26.04 cm.) (width) by 1.00 in. (2.54 cm.) (depth) Markings: signed lower right; signed, titled and dated verso Condition: archival mat; framed
