Onni Oja|||||(Finnish, 1909 - 2004)|||||Ilola|||||Lot 140 - Hagelstam & Co, Helsinki (October 20, 2015)|||||Monthly Auction (Sale )|||||Bought In|||||Estimate:   800 EUR|||||Materials: oil Measurements: 14.96 in. (38.00 cm.) (height) by 24.02 in. (61.00 cm.) (width) Markings: signed
Andy Warhol|||||(American, 1928 - 1987)|||||Kiku|||||Lot 203 - Poleschi Casa d'Aste, Milan (November 10, 2015)|||||Arte Moderna e Contemporanea (Sale 17)|||||Bought In|||||Estimate:   20,000 - 30,000 EUR|||||Materials: screenprint on paper Moulin Du Verger Measurements: 22.05 in. (56.00 cm.) (height) by 30.12 in. (76.50 cm.) (width) Edition: Unique work Description: Certificate of The Andy Warhol Foundation for the Visual Arts Inc., under n. PT 120A UT.002 Markings: stamped by the Andy Warhol Foundation for the Visual Arts; numbered  120A UT.002  verso
Robert Jacobsen|||||(Danish, 1912 - 1993)|||||Sans titre|||||Lot 7 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||$ 15,859 USD 14,829 EUR 10,385 GBP|||||Original Currency of Sale:   14,829 EUR Premium Estimate:   12,000 - 15,000 EUR|||||Materials: iron and bronze Measurements: 20.08 in. (51.00 cm.) (height) by 19.69 in. (50.00 cm.) (width) by 17.32 in. (44.00 cm.) (depth) Markings: monogrammed
Waino Aaltonen|||||(Finnish, 1894 - 1966)|||||Winter landscape|||||Lot 141 - Hagelstam & Co, Helsinki (October 20, 2015)|||||Monthly Auction (Sale )|||||$ 567 USD 500 EUR 367 GBP|||||Original Currency of Sale:   500 EUR Hammer Estimate:   500 EUR|||||Materials: oil Measurements: 15.75 in. (40.00 cm.) (height) by 12.60 in. (32.00 cm.) (width) Markings: signed v.a
Albert Bitran|||||(French, 1929)|||||Sans titre|||||Lot 8 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||$ 620 USD 580 EUR 405 GBP|||||Original Currency of Sale:   580 EUR Premium Estimate:   300 - 400 EUR|||||Materials: paste, gouache, watercolor and pencil on paper Measurements: 11.02 in. (28.00 cm.) (height) by 8.27 in. (21.00 cm.) (width) Markings: signed l.l.
Waino Aaltonen|||||(Finnish, 1894 - 1966)|||||Landscape|||||Lot 143 - Hagelstam & Co, Helsinki (October 20, 2015)|||||Monthly Auction (Sale )|||||$ 567 USD 500 EUR 367 GBP|||||Original Currency of Sale:   500 EUR Hammer Estimate:   500 EUR|||||Materials: oil Measurements: 28.35 in. (72.00 cm.) (height) by 23.23 in. (59.00 cm.) (width) Markings: signed v.a
Gianni Dova|||||(Italian, 1925 - 1991)|||||Senza titolo|||||Lot 204 - Poleschi Casa d'Aste, Milan (November 10, 2015)|||||Arte Moderna e Contemporanea (Sale 17)|||||Bought In|||||Estimate:   35,000 - 45,000 EUR|||||Materials: oil on canvas Measurements: 53.15 in. (135.00 cm.) (height) by 78.74 in. (200.00 cm.) (width) Markings: Signed, dated  Dova G, 56  lower left
Bernard Quentin|||||(French, 1923)|||||Bataille|||||Lot 9 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   2,000 - 3,000 EUR|||||Materials: oil on panel Measurements: 28.15 in. (71.50 cm.) (height) by 33.46 in. (85.00 cm.) (width) Markings: signed and dated l.r.
Ilmari Huitti|||||(Finnish, 1897 - 1960)|||||[Untitled]|||||Lot 145 - Hagelstam & Co, Helsinki (October 20, 2015)|||||Monthly Auction (Sale )|||||$ 738 USD 650 EUR 477 GBP|||||Original Currency of Sale:   650 EUR Hammer Estimate:   250 EUR|||||Materials: oil Measurements: 19.69 in. (50.00 cm.) (height) by 23.62 in. (60.00 cm.) (width) Markings: signed
Seymour Fogel|||||(American, 1911 - 1984)|||||Composition|||||Lot 10 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   4,000 - 6,000 EUR|||||Materials: oil on canvas Measurements: 28.74 in. (73.00 cm.) (height) by 23.62 in. (60.00 cm.) (width) Markings: signed l.l.
Jean Cortot|||||(French, 1925)|||||Ecritures|||||Lot 11 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   4,000 - 5,000 EUR|||||Materials: oil on canvas Measurements: 57.48 in. (146.00 cm.) (height) by 38.19 in. (97.00 cm.) (width) Markings: signed l.l.
Hugo Backmansson|||||(Finnish, 1860 - 1953)|||||Beach|||||Lot 147 - Hagelstam & Co, Helsinki (October 20, 2015)|||||Monthly Auction (Sale )|||||$ 477 USD 420 EUR 308 GBP|||||Original Currency of Sale:   420 EUR Hammer Estimate:   300 EUR|||||Materials: watercolor Measurements: 7.87 in. (20.00 cm.) (height) by 13.39 in. (34.00 cm.) (width) Markings: signed
Valerio Adami|||||(Italian, 1935 - 2005)|||||Senza titolo|||||Lot 205 - Poleschi Casa d'Aste, Milan (November 10, 2015)|||||Arte Moderna e Contemporanea (Sale 17)|||||$ 7,519 USD 7,000 EUR 4,996 GBP|||||Original Currency of Sale:   7,000 EUR Hammer Estimate:   10,000 - 15,000 EUR|||||Materials: acrylic on canvas Measurements: 21.65 in. (55.00 cm.) (height) by 18.11 in. (46.00 cm.) (width) Description: Certificate issued by the artist, with label of the 
Studio Marconi, Milan Markings: Signed  Adami' verso
Jean le Moal|||||(French, 1909 - 2007)|||||Composition|||||Lot 12 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   2,000 - 2,500 EUR|||||Materials: watercolor on paper Measurements: 8.66 in. (22.00 cm.) (height) by 14.57 in. (37.00 cm.) (width) Markings: signed and dated l.r.
Arthur Heickell|||||(Finnish, 1873 - 1958)|||||[Untitled]|||||Lot 148 - Hagelstam & Co, Helsinki (October 20, 2015)|||||Monthly Auction (Sale )|||||$ 204 USD 180 EUR 132 GBP|||||Original Currency of Sale:   180 EUR Hammer Estimate:   200 EUR|||||Materials: oil Measurements: 15.75 in. (40.00 cm.) (height) by 19.69 in. (50.00 cm.) (width) Markings: signed
Zoran Antonio Music|||||(Italian, 1909 - 2005)|||||Chevaux|||||Lot 13 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   400 - 500 EUR|||||Materials: color pencil on paper Measurements: 4.53 in. (11.50 cm.) (height) by 5.91 in. (15.00 cm.) (width) Markings: signed l.r.
