Antonio Bueno|||||(Italian, Spanish, 1918 - 1984)|||||Profilo|||||Lot 89 - Artemoderna.com Casa d'Aste, Brescia (December 14, 2015)|||||Asta No. 54 (Sale )||||||||||Estimate:   7,000 EUR|||||Materials: oil on masonite Measurements: 13.78 in. (35.00 cm.) (height) by 9.84 in. (25.00 cm.) (width) Description: with photo certificate of authenticity by Archivio Generale Fotografico delle Opere di A. Bueno (no. Abyr M 409/1) Markings: signed, u.r.
Antonio Bueno|||||(Italian, Spanish, 1918 - 1984)|||||Profilo|||||Lot 90 - Artemoderna.com Casa d'Aste, Brescia (December 14, 2015)|||||Asta No. 54 (Sale )||||||||||Estimate:   800 EUR|||||Materials: pastel and tempera on paper Measurements: 15.75 in. (40.00 cm.) (height) by 11.81 in. (30.00 cm.) (width) Description: with certificate of authenticity by Archivio Generale Fotografico delle opere di A. Bueno Markings: signed, u.r.
Antonio Bueno|||||(Italian, Spanish, 1918 - 1984)|||||Ragazza|||||Lot 91 - Artemoderna.com Casa d'Aste, Brescia (December 14, 2015)|||||Asta No. 54 (Sale )||||||||||Estimate:   500 EUR|||||Materials: ballpoint pen Measurements: 8.07 in. (20.50 cm.) (height) by 5.71 in. (14.50 cm.) (width) Description: with photo certificate of authenticity by Archivio Generale Fotografico delle Opere di A. Bueno (no.  Abyr 418G) Markings: signed and dated, u.l.
Luca Alinari|||||(Italian, 1943)|||||Pulcinella al lavoro|||||Lot 92 - Artemoderna.com Casa d'Aste, Brescia (December 14, 2015)|||||Asta No. 54 (Sale )||||||||||Estimate:   500 EUR|||||Materials: oil and enamel on board Measurements: 27.56 in. (70.00 cm.) (height) by 19.69 in. (50.00 cm.) (width) Markings: signed, l.c.
Antonio Bueno|||||(Italian, Spanish, 1918 - 1984)|||||Concertino bianco|||||Lot 93 - Artemoderna.com Casa d'Aste, Brescia (December 14, 2015)|||||Asta No. 54 (Sale )||||||||||Estimate:   2,000 EUR|||||Materials: mixed media on board Measurements: 15.75 in. (40.00 cm.) (height) by 19.69 in. (50.00 cm.) (width) Edition: unique Description: 1980s; in relief; with certificate of authenticity by GB Bianco Markings: signed, u.r.
Antonio Bueno|||||(Italian, Spanish, 1918 - 1984)|||||Volto|||||Lot 94 - Artemoderna.com Casa d'Aste, Brescia (December 14, 2015)|||||Asta No. 54 (Sale )||||||||||Estimate:   400 EUR|||||Materials: collage on cardboard Measurements: 8.27 in. (21.00 cm.) (height) by 6.69 in. (17.00 cm.) (width) Description: with photo certificate of authenticity by Giovanni Battista Bianco (Galleria Arte Capital archive no. 353 F/D) Markings: signed, u.l.
Xavier Bueno|||||(Italian, Spanish, 1915 - 1979)|||||Scena teatrale|||||Lot 99 - Artemoderna.com Casa d'Aste, Brescia (December 14, 2015)|||||Asta No. 54 (Sale )||||||||||Estimate:   1,000 EUR|||||Materials: oil on canvas Measurements: 7.48 in. (19.00 cm.) (height) by 18.50 in. (47.00 cm.) (width) Markings: signed, l.r. and verso
Xavier Bueno|||||(Italian, Spanish, 1915 - 1979)|||||Nudo|||||Lot 100 - Artemoderna.com Casa d'Aste, Brescia (December 14, 2015)|||||Asta No. 54 (Sale )||||||||||Estimate:   1,000 EUR|||||Materials: oil on canvas board Measurements: 13.78 in. (35.00 cm.) (height) by 5.91 in. (15.00 cm.) (width) Description: with photo certificate of authenticity by Archivio Generale Fotografico delle Opere di A. Bueno  (no. 670/G) Markings: signed, u.l.
Ludek Moudry|||||(Czech, 1970)|||||Retro|||||Lot 101 - Artemoderna.com Casa d'Aste, Brescia (December 14, 2015)|||||Asta No. 54 (Sale )|||||$ 385 USD 350 EUR 253 GBP|||||Original Currency of Sale:   350 EUR|||||Materials: photograph Measurements: 15.75 in. (40.00 cm.) (height) by 11.81 in. (30.00 cm.) (width) Edition: unique Description: with artist's certificate of authenticity (Galleria Arte Capital archive no. 0914) Markings: signed, l.r.
Ludek Moudry|||||(Czech, 1970)|||||Face in black|||||Lot 102 - Artemoderna.com Casa d'Aste, Brescia (December 14, 2015)|||||Asta No. 54 (Sale )|||||$ 495 USD 450 EUR 326 GBP|||||Original Currency of Sale:   450 EUR|||||Materials: photograph Measurements: 15.75 in. (40.00 cm.) (height) by 11.81 in. (30.00 cm.) (width) Edition: unique Description: with artist's certificate of authenticity (Galleria Arte Capital archive no. 0213) Markings: signed, l.r.
Antonio Bueno|||||(Italian, Spanish, 1918 - 1984)|||||Concertino|||||Lot 106 - Artemoderna.com Casa d'Aste, Brescia (December 14, 2015)|||||Asta No. 54 (Sale )||||||||||Estimate:   500 EUR|||||Materials: 5-color silkscreen touched-up by hand Measurements: 45.67 in. (116.00 cm.) (height) by 58.66 in. (149.00 cm.) (width) Edition: edition of 99 Description: printed by Piramide Markings: inscribed 'prova ritoccata a mano' and signed by artist, land dry stamped 'Atelier A.Bueno', l.l.
