Casimir van den Daele|||||(Belgian, 1818 - 1880)|||||The love message|||||Lot 314 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 1,000 - 3,000 USD|||||Materials: oil on mahogany panel Measurements: 25.00 in. (63.50 cm.) (height) by 31.50 in. (80.01 cm.) (width) Size Notes: sheet; DOA 36.5 x 43 in Markings: signed and dated 1859 at lower right, with stenciled gallery label. Condition: Minor scattered loss to frame. presented in the likely original gilt composition frame
Antoon Pieter Johan Martineau|||||(Dutch, 1926)|||||Still life with pear|||||Lot 318 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 500 - 800 USD|||||Materials: oil on board Measurements: 15.25 in. (38.74 cm.) (height) by 11.50 in. (29.21 cm.) (width) Size Notes: sheet: DOA 21 x 17 in Markings: signed at lower right Condition: presented in the likely original silvered and gilt frame
Frank Milton Armington|||||(Canadian, 1876 - 1941)|||||Pont Royal, Paris (le soir)|||||Lot 319 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 10,000 - 20,000 USD|||||Materials: oil on canvas Measurements: 28.00 in. (71.12 cm.) (height) by 35.75 in. (90.80 cm.) (width) Size Notes: sheet; DOA 36 x 43 in Markings: signed and dated at lower left Frank M. Armington 1922, titled and signed by the artist on the verso. retaining the original shipping label and inscribed 1531 A on the top stretcher Condition: presented in the original carved and giltwood frame. No evidence of restoration or in-painting visible under black light inspection; some surface grime; minor stable craquelure; some very minor rubbing and flaking to frame Exhibited:  Wembley, The British Empire Exhibition, 1924, no. FF.110
Frank Milton Armington|||||(Canadian, 1876 - 1941)|||||Pont-Marie, Paris|||||Lot 320 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 6,000 - 9,000 USD|||||Materials: oil on canvas Measurements: 19.00 in. (48.26 cm.) (height) by 23.50 in. (59.69 cm.) (width) Size Notes: sheet; DOA 26 x 30.5 in Markings: signed and dated Frank M. Armington 1925at lower right, titled and signed on the verso, retaining a gallery label for Le Rondelle in Paris Condition: presented in the likely original carved and gilt frame. No evidence of restoration or in-painting visible under black light inspection; some surface grime; minor stable craquelure; some rubbing and flaking to frame.
Pierre Eugene Duteurtre|||||(French, 1911 - 1989)|||||Plage Catalane|||||Lot 322 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 300 - 500 USD|||||Materials: oil on canvas, Measurements: 8.12 in. (20.62 cm.) (height) by 13.25 in. (33.66 cm.) (width) Size Notes: sheet; DOA 13 x 18 in Description: Accompanied by the original receipt dated 8 November 1977. Markings: signed at lower left Condition: presented in the original carved gilt wood frame. Minor abrasions to frame.
Federico Maragliano|||||(Italian, 1873 - 1952)|||||Il delta del Nilo|||||Lot 495 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  200 - 250 EUR|||||Materials: oil on board Measurements: Markings: signed l.r.
Michel Arnoux|||||(French, 1833 - 1877)|||||The little helper|||||Lot 325 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 600 - 900 USD|||||Materials: oil on panel Measurements: 13.50 in. (34.29 cm.) (height) by 10.25 in. (26.04 cm.) (width) Size Notes: sheet; DOA 24 x 20.75 in. Markings: signed at lower left Condition: presented in an antique likely original gilt composition frame
Corrado Michelozzi|||||(Italian, 1883 - 1965)|||||Vaso di fiori|||||Lot 497 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  800 - 900 EUR|||||Materials: oil Measurements: 13.78 in. (35.00 cm.) (height) by 19.69 in. (50.00 cm.) (width) Markings: signed l.l.
Edgard Fievez|||||(Belgian, 1880 - 1976)|||||Stillleben mit Papageientulpen und Goldfischen|||||Lot 10726 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  390 EUR|||||Materials: oil on canvas Measurements: 15.55 in. (39.50 cm.) (height) by 17.72 in. (45.00 cm.) (width) Markings: stamp signature 'E. FiAvez' l.r. Condition: framed
Pierre Noel Violet|||||(French, 1749 - 1819)|||||Young woman|||||Lot 326 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 300 - 500 USD|||||Materials: watercolor on paper Measurements: 10.00 in. (25.40 cm.) (height) by 9.25 in. (23.49 cm.) (width) Size Notes: DOA Markings: signed at center right P. Violet Condition: presented under glass in an antique gilt frame. Some staining to sky; light toning.
Renato Natali|||||(Italian, 1883 - 1979)|||||Casolare in maremma|||||Lot 499 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  1,000 - 1,100 EUR|||||Materials: oil Measurements: 17.72 in. (45.00 cm.) (height) by 13.78 in. (35.00 cm.) (width) Markings: signed l.r.
Paul Deltombe|||||(French, 1878 - 1971)|||||Harbor scene|||||Lot 328 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 600 - 900 USD|||||Materials: oil on canvas Measurements: 20.50 in. (52.07 cm.) (height) by 25.00 in. (63.50 cm.) (width) Size Notes: sheet; DOA 32 x 36 in Markings: signed at lower left Condition: presented in the likely original gilt composition frame with linen liner
Maximilien Luce|||||(French, 1858 - 1941)|||||Forest landscape|||||Lot 329 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 3,000 - 6,000 USD|||||Materials: oil on panel Measurements: 7.00 in. (17.78 cm.) (height) by 11.00 in. (27.94 cm.) (width) Size Notes: sheet; DOA 10.25 x 14.5 in Description: This painting will be included in Volume 4 of Maximilien Luce: catalogue raisonnA de l'oeuvre peint, currently being prepared by Madame Denise Bazetoux. Markings: signed at lower left Condition: presented in a later gilt frame
Amedeo Merello|||||(Italian, 1890 - 1979)|||||Verso sera in riviera|||||Lot 501 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  450 - 500 EUR|||||Materials: oil on board Measurements: 9.84 in. (25.00 cm.) (height) by 11.81 in. (30.00 cm.) (width)
Ella von Reinohl-Werner|||||(Austrian, 1885 - 1947)|||||Floral still life|||||Lot 335 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 400 - 800 USD|||||Materials: oil on canvas Measurements: 26.25 in. (66.68 cm.) (height) by 21.50 in. (54.61 cm.) (width) Size Notes: sheet; DOA 36 x 31 in Markings: signed at lower left Condition: presented in the original burnished gilt frame
George Stanfield Walters|||||(British, 1838 - 1924)|||||Ruderer in einem englischen Hafen|||||Lot 10738 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  420 EUR|||||Materials: watercolor Measurements: 9.65 in. (24.50 cm.) (height) by 16.54 in. (42.00 cm.) (width) Markings: signed l.l. Condition: framed
Giovan Battista Piranesi|||||(Italian, 1720 - 1778)|||||Veduta dell'Interno dell'Anfiteatro Flavio detto il Colosseo (View of the Interior of the Flavian Amphitheater called the Colosseum)|||||Lot 365 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 400 - 600 USD|||||Materials: etching on wove paper Measurements: 19.62 in. (49.83 cm.) (height) by 28.12 in. (71.42 cm.) (width) Size Notes: sheet; DOA 27.625 x 36.375 in; plate mark: 17.875 x 27.125 in Description: with centerfold, from the Vedute di Roma, Markings: signed in plate lower right Condition: matted and framed. Sheet loose but hinged to mat at edges; small tear upper left and ragged edge upper right corner; some minor abrasions and toning; no glass in frame.
Sergei Arsenevich Vinogradov|||||(Russian, 1869 - 1938)|||||A field of flowers|||||Lot 366 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 8,000 - 12,000 USD|||||Materials: oil on canvas Measurements: 23.00 in. (58.42 cm.) (height) by 27.25 in. (69.22 cm.) (width) Size Notes: sheet; DOA 32 x 36 in Markings: signed at lower right Condition: presented in a later frame. Slack in canvas; scattered paint flakes, predominantly in sky. Exhibited:  Centre d'Etudes Slaves de l'UniversitA de MontrAal, no. 5
Wilhelm Wieger|||||(German, 1890 - 1964)|||||Stillleben mit Blumen und FrA14chten|||||Lot 10740 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  280 EUR|||||Materials: oil on cardboard Measurements: 13.39 in. (34.00 cm.) (height) by 19.29 in. (49.00 cm.) (width) Markings: signed and dated '(19)58' l.l. Condition: framed
Vittorio Nattino|||||(Italian, 1890 - 1971)|||||Valle del Piave|||||Lot 523 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  400 - 450 EUR|||||Materials: watercolor Measurements: 11.02 in. (28.00 cm.) (height) by 7.87 in. (20.00 cm.) (width) Markings: signed l.r.
Sergei Arsenevich Vinogradov|||||(Russian, 1869 - 1938)|||||A lake in the evening|||||Lot 367 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 8,000 - 12,000 USD|||||Materials: oil on canvas Measurements: 35.50 in. (90.17 cm.) (height) by 28.50 in. (72.39 cm.) (width) Size Notes: sheet; DOA 41.5 x 34.5 in. Markings: signed and dated 1933 at lower left Condition: presented in a period gilt frame. Some surface grime; craquelure; slack in canvas. Exhibited:  Centre d'Etudes Slaves de l'UniversitA de MontrAal, no. 1
Misha Woloshin|||||(Russian, 20th C)|||||The odd couple|||||Lot 368 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 1,000 - 3,000 USD|||||Materials: oil on canvas Measurements: 23.00 in. (58.42 cm.) (height) by 29.00 in. (73.66 cm.) (width) Size Notes: sheet; DOA 29.75 x 35.5 in Markings: signed and dated 1923 at lower left, also inscribed in Cyrillic Condition: presented in a gilt frame
Emil Pap|||||(Hungarian, 1884 - 1949)|||||Sisters at rest|||||Lot 369 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 500 - 700 USD|||||Materials: oil on canvas Measurements: 15.50 in. (39.37 cm.) (height) by 20.00 in. (50.80 cm.) (width) Size Notes: sheet; DOA 24 x 28 in. Markings: signed at lower right Condition: presented in the likely original gilt frame with velvet liner and brass gallery plaque. Later inked and inscribed decoration to frame; minor craquelure; yellowing to varnish and some surface grime.
Karl Terner|||||(German, 1921 - 1982)|||||Aufmerksame Katzenmutter mit ihren munteren Jungen|||||Lot 10811 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  250 EUR|||||Materials: oil on artist's board Measurements: 31.50 in. (80.00 cm.) (height) by 39.37 in. (100.00 cm.) (width) Markings: signed 'Terner' l.r. Condition: framed
Julius Hermann Kummer|||||(German, 1817 - 1869)|||||Weites Tal mit Bachlauf und einzelnen BAumen in der FrA14habendstimung|||||Lot 10814 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  200 EUR|||||Materials: oil on canvas Measurements: 23.62 in. (60.00 cm.) (height) by 31.50 in. (80.00 cm.) (width) Markings: 'J. H. Kummer' u.l. Condition: framed
Horst Altermann|||||(German, 1925 - 1978)|||||Eifellandschaft mit drei 'Rivalen' im Revier|||||Lot 10833 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  260 EUR|||||Materials: oil on canvas Measurements: 23.62 in. (60.00 cm.) (height) by 31.50 in. (80.00 cm.) (width) Markings: signed 'H. Altermann' l.r. Condition: framed
Rudolf Muller-Gerhard|||||(German, 1873)|||||Segelboote im Yachthafen|||||Lot 10836 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  300 EUR|||||Materials: oil on canvas Measurements: 25.59 in. (65.00 cm.) (height) by 28.74 in. (73.00 cm.) (width) Markings: signed 'R MA14ller-Gebhard' l.r. Condition: relined patch; restored; framed
Hans Saebens|||||(German, 19/20th C)|||||Landschaft mit BAumen und Worpsweder Bauernhaus im Herbst|||||Lot 10839 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  450 EUR|||||Materials: oil on cardboard Measurements: 24.41 in. (62.00 cm.) (height) by 19.69 in. (50.00 cm.) (width) Markings: signed 'H. Saebens' l.r. Condition: framed
