Zhang Zhiwan|||||(Chinese, 1811 - 1897)|||||Jiangna in spring|||||Lot 853 - Est-Ouest Auctions, Hong Kong (November 30, 2015)|||||Autumn Sale (Sale )||||||||||Estimate: 13,000 - 18,000 HKD|||||Materials: color on paper Measurements: 51.26 in. (130.20 cm.) (height) by 20.79 in. (52.80 cm.) (width) Markings: signed on the upper left in Chinese charactersi14marked
Cesare Bentivoglio|||||(Italian, 1868 - 1952)|||||Paesaggio con pescatori|||||Lot 396 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  2,000 - 2,300 EUR|||||Materials: oil Measurements: 39.37 in. (100.00 cm.) (height) by 27.56 in. (70.00 cm.) (width)
Hu Gongshou|||||(Chinese, 1823 - 1886)|||||Landscape|||||Lot 854 - Est-Ouest Auctions, Hong Kong (November 30, 2015)|||||Autumn Sale (Sale )||||||||||Estimate: 7,000 - 12,000 HKD|||||Materials: ink on paper Measurements: 53.35 in. (135.50 cm.) (height) by 5.43 in. (13.80 cm.) (width) Description: scrolled Markings: signed on the upper side in Chinese charactersi14marked
Vittorio Nattino|||||(Italian, 1890 - 1971)|||||Angolo tranquillo|||||Lot 397 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  500 - 550 EUR|||||Materials: oil on board Measurements: 11.81 in. (30.00 cm.) (height) by 15.35 in. (39.00 cm.) (width)
Empress  Ci Xi|||||(Chinese, 1835 - 1908)|||||Theme in flowers and plants|||||Lot 855 - Est-Ouest Auctions, Hong Kong (November 30, 2015)|||||Autumn Sale (Sale )||||||||||Estimate: 140,000 - 190,000 HKD|||||Materials: color on silk Measurements: 23.62 in. (60.00 cm.) (height) by 7.68 in. (19.50 cm.) (width) Size Notes: each Description: 4 pieces, scrolled Markings: signed on the upper side in Chinese charactersi14marked
Andrea Figari|||||(Italian, 1858 - 1945)|||||Mulino a Voltaggio|||||Lot 398 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  14,000 - 15,000 EUR|||||Materials: oil Measurements: 53.94 in. (137.00 cm.) (height) by 35.83 in. (91.00 cm.) (width) Condition: coeval gilded frame
Attilio Pratella|||||(Italian, 1856 - 1949)|||||Paesaggio di Anacapri|||||Lot 407 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  1,000 - 1,100 EUR|||||Materials: oil Measurements: 10.24 in. (26.00 cm.) (height) by 7.87 in. (20.00 cm.) (width)
Kim Gui-Line|||||(Korean, 1936)|||||Inside, outside|||||Lot 58 - K Auction, Hong Kong (November 28, 2015)|||||Hong Kong Sale (Sale )||||||||||Estimate: 240,000 - 480,000 HKD|||||Materials: oil on canvas Measurements: 21.65 in. (55.00 cm.) (height) by 57.09 in. (145.00 cm.) (width) Markings: signed on the reverse
Ha Chong Hyun|||||(Korean, 1935)|||||Conjunction|||||Lot 59 - K Auction, Hong Kong (November 28, 2015)|||||Hong Kong Sale (Sale )||||||||||Estimate: 28,000 - 55,000 HKD|||||Materials: oil on hemp cloth Measurements: 9.53 in. (24.20 cm.) (height) by 13.15 in. (33.40 cm.) (width) Markings: signed on the reverse
Nicolo Barabino|||||(Italian, 1832 - 1891)|||||Profilo di uomo con cappello|||||Lot 408 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  4,000 - 4,500 EUR|||||Materials: oil Measurements: 12.20 in. (31.00 cm.) (height) by 18.50 in. (47.00 cm.) (width) Condition: wooden frame
Park Seo-bo|||||(Korean, 1931)|||||Ecriture no.050921|||||Lot 60 - K Auction, Hong Kong (November 28, 2015)|||||Hong Kong Sale (Sale )||||||||||Estimate: 82,000 - 200,000 HKD|||||Materials: mixed media on Korean paper laid on canvas Measurements: 20.87 in. (53.00 cm.) (height) by 16.10 in. (40.90 cm.) (width) Markings: signed on the reverse
Lee Ufan|||||(Korean, 1936)|||||Correspondance|||||Lot 61 - K Auction, Hong Kong (November 28, 2015)|||||Hong Kong Sale (Sale )||||||||||Estimate: 130,000 - 240,000 HKD|||||Materials: gouache on paper Measurements: 30.31 in. (77.00 cm.) (height) by 22.44 in. (57.00 cm.) (width) Markings: signed on the lower right
Giuseppe Facchinetti|||||(Italian, 1893 - 1951)|||||Rosa mistica|||||Lot 409 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  500 - 550 EUR|||||Materials: oil Measurements: 26.38 in. (67.00 cm.) (height) by 14.96 in. (38.00 cm.) (width)
Lee Kang So|||||(Korean, 1943)|||||From an Island - 02106|||||Lot 62 - K Auction, Hong Kong (November 28, 2015)|||||Hong Kong Sale (Sale )||||||||||Estimate: 240,000 - 550,000 HKD|||||Materials: oil on canvas Measurements: 89.49 in. (227.30 cm.) (height) by 71.57 in. (181.80 cm.) (width) Markings: signed on the side and reverse
Chun Kwang-Young|||||(Korean, 1944)|||||Aggregation 002-N109|||||Lot 63 - K Auction, Hong Kong (November 28, 2015)|||||Hong Kong Sale (Sale )||||||||||Estimate: 200,000 - 400,000 HKD|||||Materials: mixed media on Korean paper Measurements: 38.19 in. (97.00 cm.) (height) by 57.28 in. (145.50 cm.) (width) Markings: signed on the reverse
Araki Kampo|||||(Japanese, 1831 - 1915)|||||Morning glories and birds|||||Lot 162 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 300 - 500 USD|||||Materials: ink and colors on paper Measurements: 42.50 in. (107.95 cm.) (height) by 11.25 in. (28.58 cm.) (width) Size Notes: sheet Description: Rimpa school style, two small birds among morning glory blossoms Markings: signed with two artist seals on the lower left hand corner Condition: Good condition with some wear to paper in lower right corner; slight creases
Tommaso Cascella|||||(Italian, 195120th C)|||||Davanti al lago|||||Lot 410 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  7,500 - 8,000 EUR|||||Materials: pastel Measurements: 44.09 in. (112.00 cm.) (height) by 31.50 in. (80.00 cm.) (width) Markings: signed l.l.
Higashibara Hosen|||||(Japanese, 1887 - 1971)|||||Heron|||||Lot 164 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 500 - 700 USD|||||Materials: ink and colors on paper Measurements: 22.25 in. (56.52 cm.) (height) by 25.25 in. (64.14 cm.) (width) Size Notes: sheet Description: hanging scroll Markings: in an inscribed tomobako box, signed and marked with artist's seal in upper left hand corner Condition: Good condition with some minor foxing throughout, creases and some water spots on lower section
Kawai Gyokudo|||||(Japanese, 1873 - 1957)|||||Splashed-ink landscape|||||Lot 166 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 1,500 - 3,000 USD|||||Materials: ink on paper Measurements: 12.00 in. (30.48 cm.) (height) by 17.75 in. (45.08 cm.) (width) Size Notes: sheet Description: kakemono hanging scroll Markings: with original inscribed tomobako box, painting signed Gyukudo with artist's seal Condition: Excellent condition.
Neapolitan School|||||(Italian, 18th C)|||||Allegoria con gentiluomini|||||Lot 411 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  5,000 - 5,600 EUR|||||Materials: oil Measurements: 17.32 in. (44.00 cm.) (height) by 28.74 in. (73.00 cm.) (width)
Utagawa Hiroshige I|||||(Japanese, 1797 - 1858)|||||Fuji river in snow|||||Lot 168 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 1,500 - 2,000 USD|||||Materials: ink and colors on paper Measurements: 28.50 in. (72.39 cm.) (height) by 10.25 in. (26.04 cm.) (width) Size Notes: sheet Markings: Signed Hiroshige hitsu with seal Ichiryusai, publisher stamp for Sanoya Kihei at bottom right hand corner Condition: good impression with some fading where print showed through the glass frame, darkening of paper overall, small areas of loss along the trimmed edges of prints, laid onto a binding paper to keep in place, a repaired rip at the top of the diptych
Florentine School|||||(Italian, 17th C)|||||San Francesco|||||Lot 420 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  8,000 - 8,500 EUR|||||Materials: oil Measurements:
Wang Chengpei|||||(Chinese, 1725 - 1805)|||||Painting of insects in a garden|||||Lot 180 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 2,000 - 4,000 USD|||||Materials: ink and colors on silk Measurements: 34.37 in. (87.30 cm.) (height) by 19.62 in. (49.83 cm.) (width) Size Notes: sheet Description: finely painted butterflies, crickets and bees amidst a garden of vegetables and flowers Markings: signed Wang Chengpei Condition: cut from hanging scroll to be framed under glass maintaining original silk border. Good condition with a few minor areas where there are scratches to the silk and one horizontal fold mark on the top section of the painting; two small areas of repair at th
Sir Giuseppe Recco|||||(Italian, 1634 - 1695)|||||Natura in posa|||||Lot 423 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  18,000 - 20,000 EUR|||||Materials: oil Measurements: 37.40 in. (95.00 cm.) (height) by 28.74 in. (73.00 cm.) (width)
Alexandra Cerne|||||(German, 1925 - 2006)|||||Stillleben mit Trauben, Weinlaub, Korb und SA14dfrA14chten|||||Lot 10599 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  200 EUR|||||Materials: oil on canvas Measurements: 27.56 in. (70.00 cm.) (height) by 39.37 in. (100.00 cm.) (width) Markings: signed l.r. Condition: framed
Frans Francken II|||||(Flemish, 1581 - 1642)|||||Laadorazione dei Magi|||||Lot 425 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  12,000 - 13,500 EUR|||||Materials: oil on copper Measurements: 14.17 in. (36.00 cm.) (height) by 11.42 in. (29.00 cm.) (width) Description: for comparison see Rijksmuseum Amsterdam 'Allegoria del Cristo Bambino'
August Muller|||||(German, 1836 - 1885)|||||Doting grandfather|||||Lot 313 - Leland Little Auction & Estate Sales, Hillsborough (December 02, 2015)|||||The Winter Catalogue Auction||||||||||Estimate: $ 1,000 - 3,000 USD|||||Materials: oil on canvas Measurements: 35.50 in. (90.17 cm.) (height) by 29.50 in. (74.93 cm.) (width) Size Notes: sheet: DOA 41 x 34.5 in Markings: signed and dated at lower left Aug. MA14ller / 1873 / MA14nchen Condition: Minor craquelure. presented in an antique carved and gilt frame
Amedeo Merello|||||(Italian, 1890 - 1979)|||||Pollaio|||||Lot 436 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  200 - 250 EUR|||||Materials: oil Measurements: 15.75 in. (40.00 cm.) (height) by 21.65 in. (55.00 cm.) (width)
Hermann Gesing|||||(German, 20th C)|||||Im Vordergrund Boote mit Figurenstaffage auf dem Canale Grande|||||Lot 10648 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  350 EUR|||||Materials: oil on canvas Measurements: 31.50 in. (80.00 cm.) (height) by 23.62 in. (60.00 cm.) (width) Markings: signed u.r.; artist's badge verso Condition: framed
Felix Widder|||||(Hungarian, fl.1874)|||||Am Wegrain|||||Lot 10651 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  220 EUR|||||Materials: oil on canvas Measurements: 23.62 in. (60.00 cm.) (height) by 31.50 in. (80.00 cm.) (width) Markings: signed and dated '1935' l.l. Condition: framed
Georg Grulich|||||(German, )|||||Blick auf DA14sseldorf-Vollmerswerth mit Kirche und Bootsanlegestelle|||||Lot 10661 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  200 EUR|||||Materials: oil on canvas Measurements: 15.75 in. (40.00 cm.) (height) by 19.69 in. (50.00 cm.) (width) Markings: signed l.r.; titled verso Condition: framed
Alfred Rasenberger|||||(German, 1885 - 1949)|||||Treibeis auf dem Niederrhein|||||Lot 10667 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  280 EUR|||||Materials: oil on cardboard Measurements: 11.61 in. (29.50 cm.) (height) by 14.96 in. (38.00 cm.) (width) Markings: signed l.r. Condition: framed
Mario Berrino|||||(Italian, 1920 - 2011)|||||Donne alla fonte|||||Lot 458 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  200 - 250 EUR|||||Materials: oil on board Measurements: 8.27 in. (21.00 cm.) (height) by 8.27 in. (21.00 cm.) (width) Markings: signed l.r.
Carl Landwehr|||||(German, )|||||TAnzerin mit Tambourin|||||Lot 10675 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  420 EUR|||||Materials: oil on canvas Measurements: 19.69 in. (50.00 cm.) (height) by 15.75 in. (40.00 cm.) (width) Markings: signed l.r. Condition: framed
Hans Vilz|||||(German, 1902 - 1971)|||||Froschenteich bei Wittlaer|||||Lot 10686 - Historia Auktionshaus, Berlin (January 30, 2014)|||||Sonderauktion in Meerbusch (Sale 118)||||||||||Estimate:  220 EUR|||||Materials: oil on canvas Measurements: 15.75 in. (40.00 cm.) (height) by 19.69 in. (50.00 cm.) (width) Markings: signed l.r.; titled verso Condition: framed
Vincenzo Pasquale Angelo Petrocelli|||||(Italian, 1823 - 1896)|||||Laarresto|||||Lot 471 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  2,200 - 2,500 EUR|||||Materials: oil Measurements: 30.31 in. (77.00 cm.) (height) by 25.20 in. (64.00 cm.) (width) Markings: signed l.l.
Carlo Balestrini|||||(Italian, 1868 - 1923)|||||Bovini allaabbeveratoio|||||Lot 477 - Aste Boetto, Genoa (December 15, 2015)|||||Antiquariato e Dipinti sec. XIX (Sale )||||||||||Estimate:  3,500 - 3,900 EUR|||||Materials: oil Measurements: 63.78 in. (162.00 cm.) (height) by 39.37 in. (100.00 cm.) (width) Markings: signed and dated '1896'
